coaster_name,Length,Speed,Location,Status,Type,Manufacturer,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,year_introduced,latitude,longitude,Type_Main,Opening Date
Switchback Railway,600 ft (180 m),6 mph (9.7 km/h),Coney Island,Removed,Wood,LaMarcus Adna Thompson,Lift Packed,50 ft (15 m),,gravity,,,Coney Island Cyclone Site,1:00,1600 riders per hour,2.9,LaMarcus Adna Thompson,30°,43 ft (13 m),,,,Gravity pulled coaster,,,,,,,,,,,,,,,1884,40.574,-73.978,Wood,1884-06-16
Flip Flap Railway,,,Sea Lion Park,Removed,Wood,Lina Beecher,,,1.0,,,a single car. Riders are arranged 1 across in 2 rows for a total of 2 riders per train.,,,,12,Lina Beecher,,,,,,,,,1902,,,,,,,,,,,,1895,40.578,-73.979,Wood,1895-01-01
Switchback Railway (Euclid Beach Park),,,"Cleveland, Ohio, United States",Closed,Other,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,1896,41.58,-81.57,Other,
Loop the Loop (Coney Island),,,Other,Removed,Steel,Edwin Prescott,,,1.0,,,a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,,,,Edward A. Green,,,,,Switchback Railway,,,,1910,,Giant Racer,,,,,,,,,,1901,40.5745,-73.978,Steel,1901-01-01
Loop the Loop (Young's Pier),,,Other,Removed,Steel,Edwin Prescott,,,1.0,,,,,,,,Edward A. Green,,,,,,,,,1912,,,,,,,,,,,,1901,39.3538,-74.4342,Steel,1901-01-01
Cannon Coaster,,,Coney Island,Removed,Wood,George Francis Meyer,,40 ft (12 m),,,,,,,,,,,,,,,,,,1907,,,,,,,,,,,,1902,40.575,-73.98,Wood,1902-01-01
Leap-The-Dips,"1,452 ft (443 m)",10 mph (16 km/h),Lakemont Park,Operating,Wood – Side friction,Federal Construction Company,,41 ft (12 m),,,,,,1:00,,,Edward Joy Morris,25°,9 ft (2.7 m),,,,,,,,,,,,,,,,,,,1902,,,Wood,1902-01-01
Figure Eight (Euclid Beach Park),,,"Cleveland, Ohio, United States",Closed,Other,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,1904,41.58,-81.57,Other,
Drop the Dip,,,Coney Island,Removed,Other,Arthur Jarvis,,60 ft (18 m),,,,,,1 minute 30 seconds,,,"Christopher Feucht, Welcome Mosley",,,,,,,,,1930s,,,,,,,,,,,,1907,40.5744,-73.9786,Other,1907-06-06
Scenic Railway (Euclid Beach Park),,,"Cleveland, Ohio, United States",Closed,Other,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,1907,41.58,-81.57,Other,
Loop the Loop (Olentangy Park),,,Olentangy Park,Removed,Steel,Lina Beecher,,,1.0,,,,,,,,Lina Beecher,,,,,,,,,,,,,,,,,,,,,1908,40.0204,-83.0143,Steel,1908-01-01
Aero Dips,,,"Cleveland, Ohio, United States",Closed,Other,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,1909,41.58,-81.57,Other,
Backety-Back Scenic Railway,,10 mph (16 km/h),Crystal Beach,Removed,Wood – Shuttle,,,,0.0,,"$50,000",2 cars. Riders are arranged 2 across in 5 rows for a total of 20 riders per train.,,,,,John H. Brown,,,,,,,,,1926,,,,,,,,,,,,1909,42.8675,-79.0592,Wood,1909-01-01
Racer (1910 roller coaster),"4,500 ft (1,400 m)",40 mph (64 km/h),Kennywood,Operating,Wood – Racing,Charlie Mach,Racing,72.5 ft (22.1 m),0.0,Chain lift,"$75,000",4 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:32,1400 riders per hour,,John A. Miller,,50 ft (15 m),,,,Möbius Loop,,,,,,,,,,,,,,,1910,40.3869,-79.8619,Wood,1927-01-01
Derby Racer,,,Revere Beach,Removed,Wood – Racing,Fred W. Pearce,,,0.0,,"$140,000",,,,,,,,,,,,Figure Eight,,,1936,,,,,,,,,,,,1911,42.42,-70.986,Wood,1911-01-01
The Great Scenic Railway,"967 m (3,173 ft)",60 km/h (37 mph),Luna Park Melbourne,Operating,Wood,LaMarcus Thompson,,16 m (52 ft),0.0,Cable lift hill,,3 trains with 2 cars. Riders are arranged 2 across in 5 rows for a total of 20 riders per train.,,,,,,,,,,,,,,,,,Official website,,,,,,,,,1912,,,Wood,1912-12-01
Zippin Pippin,"2,865 ft (873 m)",40 mph (64 km/h),Other,,Wood,The Gravity Group,Wooden Coaster,70 ft (21 m),,Chain lift hill,,,,1:58,,,John A. Miller,64°,70 ft (21 m),,,,Martin & Vleminckx,,,2005,,,,,,,,,,,,1912,,,Wood,
Racing Coaster,,,"Cleveland, Ohio, United States",Closed,Other,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,1913,41.58,-81.57,Other,
Whirl Pool Dips,,,Tolchester Beach Park,Removed,Wood,,,,,,"$50,000",,,,,,,,,,,,,,,1959,,,,,,,,,,,,1913,39.214,-76.231,Wood,1913-01-01
Green Dragon (Lake Compounce),,,Lake Compounce,Removed,Wood – Out and back,,,,0.0,Chain,,,,,,,"Bowen, Moore",,,,,,,,,1926,,Wildcat,,,,,,,,,,1914,41.642,-72.923,Wood,1914-01-01
The Wild One (roller coaster),"4,000 ft (1,200 m)",53 mph (85 km/h),Six Flags America,,Wood,Dinn Corporation,,98 ft (30 m),0.0,,,2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,Mardi Gras,1:52,,,John A. MillerHerbert Schmeck,,88 ft (27 m),,,,,,,1984,,,,Flash Pass Available,,,,,,,,1917,38.9092,-76.7725,Wood,
Jack Rabbit (Clementon Park),"1,380 ft (420 m)",,Clementon Park,Removed,Wood,Philadelphia Toboggan Coasters,Wooden,50 ft (15 m),0.0,chain lift hill,,,,,,,John A. Miller,,50 ft (15 m),,,,,,,2002,,,,,,,,,,,,1919,39.8041,-74.9844,Wood,1919-01-01
Jack Rabbit (Kennywood),"2,132 ft (650 m)",45 mph (72 km/h),Kennywood,Operating,Wood,Harry C. Baker,,40 ft (12 m),0.0,Chain lift hill,"$50,000 USD",3 trains with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,1:36,,,John A. Miller,45°,70 ft (21 m),,,,"Terrain, Out and Back roller coaster",,,,,,,,,,,,,,,1920,40.3867,-79.8628,Wood,1920-01-01
Jack Rabbit (Seabreeze),"2,130 ft (650 m)",42 mph (68 km/h),Seabreeze Amusement Park,Operating,Wood,Harry C. Baker,,75 ft (23 m),,chain,,,,,,,John A. Miller,52°,,,,,"Terrain, Out and Back",,,,,,,,,,,,,,,1920,43.2316,-77.5432,Wood,1920-01-01
Scenic Railway (roller coaster),"3,000 ft (910 m)",35 mph (56 km/h),Dreamland Margate,Operating,Wood,,Scenic Railway,40 ft (12 m),,Cable (two lifts),,,,,,,,,40 ft (12 m),,,,,,,,,,,,,,,,,,,1920,51.3853,1.3775,Wood,1920-07-03
Roller Coaster (Lagoon),"762 m (2,500 ft)",45 mph (72 km/h),Lagoon Amusement Park,Operating,Wood,,,18.9 m (62 ft),0.0,Chain lift hill,,2 trains with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,,,,,John A. Miller,,,,,,Double Out and Back,,,,,,,,,,,,,,,1921,40.9849,-111.8951,Wood,1921-07-15
Big Dipper (Blackpool Pleasure Beach),"3,300 ft (1,000 m)",40 mph (64 km/h),Blackpool Pleasure Beach,Operating,Wood – Out and back,William Strickler,Wooden Out and back coaster,65 ft (20 m),0.0,Chain,"£25,000 (1922)",2 trains with 3 cars. Riders are arranged 2 across in 4 rows for a total of 24 riders per train.,,2:28,,3.7,John A. Miller,46°,50 ft (15 m),,,,Out and back,,,,,,,,,,,,,,,1923,53.7892,-3.0569,Wood,1923-08-23
Wild Cat (Hersheypark),"2,331 ft (710 m)",,Hersheypark,Removed,Wood,Philadelphia Toboggan Coasters,,,0.0,Chain lift hill,"$50,000",3 trains with 3 cars. Riders are arranged 2 across in 4 rows for a total of 24 riders per train.,,,,,Herbert Schmeck,,75 ft (23 m),,,,Out and Back,,,"September 9, 1945",,,,,,,,,,,,1923,40.2882,-76.6535,Wood,1923-06-16
The Bobs (roller coaster),"3,235 ft (986 m)",50 mph (80 km/h),Riverview Park,Removed,Wood,Prior and Church,,64.75 ft (19.74 m),0.0,Chain lift hill,,,,,,,Fred Church,,59.58 ft (18.16 m),,,,,,,1967,,,,,,,,,,,,1924,41.9407,-87.6924,Wood,1924-01-01
Giant Dipper,"2,640 ft (800 m)",55 mph (89 km/h),Santa Cruz Beach Boardwalk,Operating,Wood,Arthur Looff,,70 ft (21 m),0.0,Chain lift hill,"$50,000",2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:52,,,"Frank Prior, Frederick Church",,65 ft (20 m),,,,Double Out and Back,,,,,,,,,,,,,,,1924,36.9647,-122.0153,Wood,1924-05-17
Pippin (roller coaster),"3,250 ft (990 m)",55 mph (89 km/h),Kennywood,Operating,Wood,,,70 ft (21 m),0.0,Chain lift hill,,3 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:41,,,Andy Vettel (1968)John A. Miller (1924),,90 ft (27 m),,,Pippin,Terrain,,,,,,Official website,,,,,,,,,1924,40.3889,-79.865,Wood,1968-01-01
The Thriller (roller coaster),,,"Cleveland, Ohio, United States",Closed,Other,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,1924,41.58,-81.57,Other,
